id,name,type
384,菜粑,10
385,蛋燕,38
386,醉排骨,37
387,重庆酸辣粉,59
388,重庆小面,10
389,八珍炒糕,16
390,辣子鸡,29
391,豆花,17
392,闽侯橄榄,10
393,茶口粉干,11
394,丹阳肉燕,10
395,南丰蜜桔,10
396,南丰蜜桔,10
397,夹津口橡子凉粉,11
398,喂庄烩面,11
399,老君烧鸡,10
400,柏峪排骨,10
401,夹津口橡子凉粉,11
402,虾饺,30
403,绵绵冰(杨小贤甜品),10
404,软粿,10
405,仙游蓼花,10
406,妈祖面,11
407,风亭糕,16
408,水蛇粥(洛溪食街),10
409,煎包,29
410,金棵,10
411,枫亭糕,16
412,兴化米粉,41
413,猪肚包鸡(珍旺猪肚包鸡),10
414,红团,10
415,泗粉,11
416,海蛎饼,15
417,姜撞奶(沁芳园甜品店),14
418,豆浆炒,10
419,拆鱼粥（滋粥楼),14
420,双皮奶（沙湾奶牛皇后),10
421,烧鹅(烧鹅妹饭店),13
422,鱼宴(荔城美食),10
423,金粿,10
424,海鲜(一方渔家),10
425,西天尾扁食,10
426,干焖羊肉,10
427,仙游扁食,10
428,三合士,10
429,包心豆腐丸,29
430,麦煎,35
431,娃娃菜,26
432,牛肉粉,10
433,青岩猪脚,10
434,娃娃菜,26
435,无名缘米粉,11
436,老关东铁锅炖鱼,10
437,东方饺子王,10
438,四川火锅店,12
439,老昌春饼,15
440,龟牌煎饼,15
441,开封灌汤包,36
442,无名缘米粉,11
443,嘉积鸡,10
444,东山羊,10
445,嘉积鸡,10
446,舟东美食街,10
447,小和山美食街,10
448,奶汤鱼皮,48
449,中国美院转塘美食街,14
450,下沙高教园美食街,14
451,毛脸凉皮,10
452,豆丹,29
453,荷花铁雀,10
454,滨江高教园垃圾街,14
455,煎饼,22
456,老文教区美食街,10
457,罗家臭豆腐,10
458,星巴克,24
459,蓝枪鱼音乐餐厅,14
460,川湘记餐厅,14
461,龙虾盖浇饭,13
462,齐齐火锅,12
463,九品风山珍宝,10
464,鲜榨果汁,34
